Contexts,generated question
"What causes puberty to begin? The hypothalamus in the brain �tells� the pituitary gland to secrete hormones that target the testes. The main pituitary hormone involved is luteinizing hormone (LH) . It stimulates the testes to secrete testosterone. Testosterone, in turn, promotes protein synthesis and growth. It brings about most of the physical changes of puberty, some of which are shown in Figure below . In addition to the changes shown below, during puberty male facial hair begins to grow, the shoulders broaden, and the male voice deepens. You can watch an animation of these and other changes that occur in boys during puberty at the Interactive Body link: http://www. bbc. co. uk/science/humanbody/body/interactives/lifecycle/teenagers/ .",What hormone stimulates the testes to secrete testosterone during puberty?
21.6 Comparing genome sequences provides clues to evolution and development.,"""What can comparing genome sequences provide clues to?"""
"The core is the Sun's innermost layer. The core is plasma. It has a temperature of around 15 million degrees Celsius (C). Nuclear fusion reactions create the immense temperature. In these reactions, hydrogen atoms fuse to form helium. This releases vast amounts of energy. The energy moves towards the outer layers of the Sun. Energy from the Sun's core powers most of the solar system.",What powers most of the solar system?
"Uranus is a lot like Jupiter and Saturn. The planet is composed mainly of hydrogen and helium. There is a thick layer of gas on the outside. Further on the inside is liquid. But Uranus has a higher percentage of icy materials than Jupiter and Saturn. These materials include water, ammonia, and methane. Uranus is also different because of its blue-green color. Clouds of methane filter out red light. This leaves a blue-green color. The atmosphere of Uranus has bands of clouds. These clouds are hard to see in normal light. The result is that the planet looks like a plain blue ball.",What is the main composition of Uranus?
"Connective Tissue Fibers and Ground Substance Three main types of fibers are secreted by fibroblasts: collagen fibers, elastic fibers, and reticular fibers. Collagen fiber is made from fibrous protein subunits linked together to form a long and straight fiber. Collagen fibers, while flexible, have great tensile strength, resist stretching, and give ligaments and tendons their characteristic resilience and strength. These fibers hold connective tissues together, even during the movement of the body. Elastic fiber contains the protein elastin along with lesser amounts of other proteins and glycoproteins. The main property of elastin is that after being stretched or compressed, it will return to its original shape. Elastic fibers are prominent in elastic tissues found in skin and the elastic ligaments of the vertebral column. Reticular fiber is also formed from the same protein subunits as collagen fibers; however, these fibers remain narrow and are arrayed in a branching network. They are found throughout the body, but are most abundant in the reticular tissue of soft organs, such as liver and spleen, where they anchor and provide structural support to the parenchyma (the functional cells, blood vessels, and nerves of the organ). All of these fiber types are embedded in ground substance. Secreted by fibroblasts, ground substance is made of polysaccharides, specifically hyaluronic acid, and proteins. These combine to form a proteoglycan with a protein core and.",What are the three main types of fibers secreted by fibroblasts?
"A tornado only strikes a small area. But it can destroy everything in its path. Most injuries and deaths from tornadoes are caused by flying debris ( Figure below ). In the United States, an average of 90 people are killed by tornadoes each year. The most violent two percent of tornadoes account for 70% of the deaths by tornadoes.",What is the cause of most injuries and deaths from tornadoes?
The spermatids are transported from the testes to the epididymis. Involuntary muscular contraction moves the spermatids along.,How are spermatids transported from the testes to the epididymis?
"Protection. The skeleton supports and protects the soft organs of the body. For example, the skull surrounds the brain to protect it from injury. The bones of the rib cage help protect the heart and lungs.",What do the bones of the rib cage help protect?
"What if you were to drop a bowling ball and a soccer ball at the same time from the same distance above the ground? The bowling ball has greater mass than the basketball, so the pull of gravity on it is greater. Would it fall to the ground faster? No, the bowling ball and basketball would reach the ground at the same time. The reason? The more massive bowling ball is also harder to move because of its greater mass, so it ends up moving at the same acceleration as the soccer ball. This is true of all falling objects. They all accelerate at the same rate due to gravity, unless air resistance affects one object more than another. For example, a falling leaf is slowed down by air resistance more than a falling acorn because of the leaf�s greater surface area. You can simulate the effect of air resistance on acceleration due to gravity by doing the interactive animation at this URL: http://www. science-animations. com/support-files/freefall. swf.",What determines the rate at which objects fall to the ground?
"any other electron, they become a part of the molecule�s electron system.204 This sharing of electrons produces what is known as a covalent bond. Covalent bonds are ~20 to 50 times stronger than van der Waals interactions. What exactly does that mean? Basically, it takes 20 to 50 times more energy to break a covalent bond compared to a van der Waals interaction. While the bonded form of atoms in a molecule is always more stable than the unbounded form, it may not be stable enough to withstand the energy delivered through collisions with neighboring molecules. Different bonds between different atoms in different molecular contexts differ in terms of bond stability; the bond energy refers the energy needed to break a particular bond. A molecule is stable if the bond energies associated with bonded atoms within the molecule are high enough to survive the energy delivered to the molecule through either collisions with neighboring molecules or the absorption of energy (light). When atoms form a covalent bond, their individual van der Waals surfaces merge to produce a new molecular van der Waals surface. There are a number of ways to draw molecules, but the spacefilling or van der Waals surface view is the most realistic (at least for our purposes). While realistic it can also be confusing, since it obscures the underlying molecular structure, that is, how the atoms in the molecule are linked together. This can be seen in this set of representations of the simple molecule 2methylpropane (?).205 As molecules become larger, as is the case with many biologically important molecules, it can become impossible to appreciate their underlying organization based on a van der Waals surface representation. Because they form a new stable entity, it is not surprising (perhaps) that the properties of a molecule are quite distinct from, although certainly influenced by, the properties of the atoms from which they are composed. To a first order approximation, a molecule�s properties are based on its shape, which is dictated by how the various atoms withjn the molecule are connected to one another. These geometries are imposed by each atom�s underlying quantum mechanical properties and (particularly as molecules get larger, as they so often do in biological systems) the interactions between different parts of the molecule with one another. Some atoms, common to biological systems, such as hydrogen (H), can form only a single covalent bond. Others can make two (oxygen (O) and sulfur (S)), three (nitrogen (N)), four (carbon (C)), or five (phosphorus (P)) bonds. In addition to smaller molecules, biological systems contain a number of distinct types of extremely large molecules, composed of many thousands of atoms; these are known as macromolecules. Such macromolecules are not rigid; they can often fold back on themselves leading to intramolecular interactions. There are also interactions between molecules. The strength and specificity of these interactions can vary dramatically and even small changes in molecular structure (such as caused by mutations and allelic variations) can have dramatic effects.",What is the term for the merging of individual van der Waals surfaces when atoms form a covalent bond?
"U92235 + n01� B56141a + K3692r + 3n01 This hypothesis was confirmed by detecting the krypton-92 fission product. As discussed in Section 20.2 ""Nuclear Reactions"", the nucleus usually divides asymmetrically rather than into two equal parts, and the fission of a given nuclide does not give the same products every time. In a typical nuclear fission reaction, more than one neutron is released by each dividing nucleus. When these neutrons collide with and induce fission in other neighboring nuclei, a self-sustaining series of nuclear fission reactions known as anuclear chain reaction can result (Figure 20.16 ""The Curve of Nuclear Binding Energy""). For example, the fission of 235U releases two to three neutrons per fission event. If absorbed by other 235U nuclei, those neutrons induce additional fission events, and the rate of the fission reaction increases geometrically. Each series of events is called a generation. Experimentally, it is found that some minimum mass of a fissile isotope is required to sustain a nuclear chain reaction; if the mass is too low, too many neutrons are able to escape without being captured and inducing a fission reaction. The minimum mass capable of supporting sustained fission is called the critical mass. This amount depends on the purity of the material and the shape of the mass, which corresponds to the amount of surface area available from which neutrons can escape, and on the identity of the isotope. If the mass of the fissile isotope is greater than the critical mass, then under the right conditions, the resulting supercritical mass can release energy explosively. The enormous energy released from nuclear chain reactions is responsible for the massive destruction caused by the detonation of nuclear weapons such as fission bombs, but it also forms the basis of the nuclear power industry. Nuclear fusion, in which two light nuclei combine to produce a heavier, more stable nucleus, is the opposite of nuclear fission. As in the nuclear transmutation reactions discussed in Section 20.2 ""Nuclear.",What is the term used to describe a self-sustaining series of nuclear fission reactions?
"Conceptual Questions 19.1 Electric Potential Energy: Potential Difference 1. Voltage is the common word for potential difference. Which term is more descriptive, voltage or potential difference? 2. If the voltage between two points is zero, can a test charge be moved between them with zero net work being done? Can this necessarily be done without exerting a force? Explain. What is the relationship between voltage and energy? More precisely, what is the relationship between potential difference and electric potential energy? 4. Voltages are always measured between two points. Why? 5. How are units of volts and electron volts related? How do they differ?.","Which term is more descriptive, voltage or potential difference?"
"Example 3.5 Calculating Projectile Motion: Hot Rock Projectile Kilauea in Hawaii is the world�s most continuously active volcano. Very active volcanoes characteristically eject red-hot rocks and lava rather than smoke and ash. Suppose a large rock is ejected from the volcano with a speed of 25.0 m/s and at an angle 35.0� above the horizontal, as shown in Figure 3.40. The rock strikes the side of the volcano at an altitude 20.0 m lower than its starting point. (a) Calculate the time it takes the rock to follow this path. (b) What are the magnitude and direction of the rock�s velocity at impact?.",What is the speed and angle at which the rock is ejected from the volcano?
"Selective precipitation can also be used in qualitative analysis. In this method, reagents are added to an unknown chemical mixture in order to induce precipitation. Certain reagents cause specific ions to precipitate out; therefore, the addition of the reagent can be used to determine whether the ion is present in the solution.",What is the purpose of adding reagents to an unknown chemical mixture in selective precipitation?
"Range shifts are already being observed: for example, some European bird species ranges have moved 91 km northward. The same study suggested that the optimal shift based on warming trends was double that distance, suggesting that the populations are not moving quickly enough. Range shifts have also been observed in plants, butterflies, other insects, freshwater fishes, reptiles, and mammals. Climate gradients will also move up mountains, eventually crowding species higher in altitude and eliminating the habitat for those species adapted to the highest elevations. Some climates will completely disappear. The rate of warming appears to be accelerated in the arctic, which is recognized as a serious threat to polar bear populations that require sea ice to hunt seals during the winter months: seals are the only source of protein available to polar bears. A trend to decreasing sea ice coverage has occurred since observations began in the mid-twentieth century. The rate of decline observed in recent years is far greater than previously predicted by climate models. Finally, global warming will raise ocean levels due to melt water from glaciers and the greater volume of warmer water. Shorelines will be inundated, reducing island size, which will have an effect on some species, and a number of islands will disappear entirely. Additionally, the gradual melting and subsequent refreezing of the poles, glaciers, and higher elevation.",What are some examples of species that have experienced range shifts due to climate change?
"The metals of group 13 (Al, Ga, In, and Tl) are all reactive. However, passivation occurs as a tough, hard, thin film of the metal oxide forms upon exposure to air. Disruption of this film may counter the passivation, allowing the metal to react. One way to disrupt the film is to expose the passivated metal to mercury. Some of the metal dissolves in the mercury to form an amalgam, which sheds the protective oxide layer to expose the metal to further reaction. The formation of an amalgam allows the metal to react with air and water.",What happens when the passivated metal is exposed to mercury?
